fahod262,ID Tiktok,Tên Sản phẩm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cột màu vàng làm hàm import,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID Shopee,ID Tiktok,Tên Sản phẩm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TIKTOK (7N),,,,,,,,,,,,,,,TÀI CHÍNH SẢN PHẨM THÁNG 3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SHOPEE (7N),,,,,,,,,SHOP TAB,,,LIVE,,,VIDEO,,,THẺ SẢN PHẨM,,,,,,,,,,Tăng trưởng,,,,,,,,,,,,,,,,
ID Shopee,ID Tiktok,Tên sản phẩm,SKU,Hình ảnh,Team,Trạng thái,Tồn hàng,Giá thu về SHP,Giá thu về TIKTOK,Giá kì vọng,Tổng bán 2 sàn 7N ,Xu hướng 60 ngày,X (30N),X (7N),Lượt truy cập,CTR,CR,,Xu hướng 60 ngày,X (30N),X (7N),View,CTR,CR,View,CTR,CR,View,CTR,CR,View,CTR,CR,,GMV SHP,GMV TTS,ADS SHOPEE,ADS TIKTOK,CHI PHÍ BOOKING,ROI tổng,Shopee,Tiktok,,,,,,,,,,,,,,,
23729567102,1729599255421356353,Quần Vải Dù 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Ống Rộng PARACHUTE Màu Trơn,304GI1_QTD012_,,Team D,SP đang bán,1794,179 229 ,179 179,"đen: 146,88
xanh be 151,2",85,,31,40,3.746,"6,04%","3,26%",,,51,46,2.069,5.25%,4.43%,29,5.27%,4.55%,25.192,9.11%,1.42%,3.267,3.72%,3.85%,,142.710.817 đ,3.867.299 đ,3.255.023 đ,9.660.262 đ,,11,"29,08%","-10,95%",,,,,,,,,,,,,,,
28523187320,1732043700804094273,Áo Sơ Mi Vải Denim Chiết Eo 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Có Dây Chỉnh Eo Logo Hợp Kim Basic,501DE1_AMN016_,,Team D,SP đang bán,392,224 268,224 224,"Xanh nhạt: 248,4
xanh đậm: 226,8",10,,10,9,2.810,"5,14%","1,22%",,,1,1,609,5.23%,0.21%,0,0.00%,0.00%,630,5.20%,1.15%,934,5.67%,0.23%,,61.160.337 đ,1.491.210 đ,1.750.967 đ,309.235 đ,,30,"-11,43%","-6,25%",,,,,,,,,,,,,,,
27860606531,1730934271379147073,Áo Sơ Mi Boxy Kẻ Sọc 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Oxford Cúc Màu Đỏ/Xanh Form Unisex Nam Nữ,409KE1_AMN048_,,Team D,SP Không Tái,0,201 260,201 201,209 209,4,,4,4,1.502,"4,86%","1,15%",,,1,0,497,6.26%,0.26%,71,6.53%,0.00%,813,7.33%,0.16%,571,5.33%,0.20%,,16.457.256 đ,4.769.661 đ,787.174 đ,194.343 đ,,22,"5,19%","-78,02%",,,,,,,,,,,,,,,
19137120867,1729555187624413505,Áo Khoác Gió 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Bomber BABE Chữ Thêu Style Đường Phố Âu Mỹ.,304GI1_AKHD011_,,Team D,SP đang bán,1215,"280 360
Màu xanh 230 310
VC 39k",260 340,"271,7 285,285",15,,15,13,2.203,"5,65%","1,52%",,,4,2,849,6.43%,1.04%,211,2.00%,0.00%,3.608,10.40%,0.39%,576,4.11%,0.21%,,132.861.047 đ,1.895.200 đ,2.782.635 đ,0 đ,,48,"-13,92%","-55,94%",,,,,,,,,,,,,,,
27381722518,1731336871699055937,Quần Váy Dáng Chữ A 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Kẻ Sọc Phối Đai Phong Cách Hàn Quốc,504KE2_CQN011_,,Team D,SP đang bán,159,176 237,176 237,"158,4 172,7",7,,8,5,1.417,"5,10%","1,67%",,,2,2,615,6.59%,0.64%,9,2.69%,0.00%,848,8.17%,0.61%,862,4.97%,0.93%,,38.212.516 đ,916.219 đ,743.769 đ,145.707 đ,,44,"-37,76%","-12,83%",,,,,,,,,,,,,,,
28477285473,1732142973627500865,Quần Giả Chân Váy Bí 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Siêu Phồng Chất Dù Hack Dáng Cho Nữ,502GI1_CQL010_,,Team D,Bán hết cắt mẫu,0,179 239,179 179,"183,6 183,6",2,,2,2,790,"3,41%","1,35%",,,1,0,80,5.03%,1.56%,0,0.00%,0.00%,150,6.55%,0.86%,148,4.62%,1.53%,,5.491.335 đ,525.018 đ,255.923 đ,0 đ,,24,"1,69%","-50,55%",,,,,,,,,,,,,,,
18195211674,1729849904227584321,Áo Khoác Phao 𝘽𝙮𝙘𝙖𝙢𝙘𝙖𝙢 Phồng Siêu Nhẹ Siêu Ấm Mùa Đông,311SN1_AKHD016_,,Team D,SP đang bán,2580,332 393,332 393,"326,16 326,16",5,,5,4,1.749,"2,77%","1,02%",,,1,0,152,6.69%,0.00%,0,0.00%,0.00%,250,9.32%,0.00%,220,3.54%,1.63%,,55.800.821 đ,1.533.990 đ,1.103.651 đ,0 đ,,52,"-20,63%","-14,29%",,,,,,,,,,,,,,,
25163768994,1730045483694786881,Áo Sơ Mi 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Kẻ CỘC TAY Vải Oxford Phối Cổ Trắng Dáng Rộng Phong Cách Hàn Quốc.,402KE1_AMN064_,,Team D,SP đang bán,0,219 279,219 279,"215,6 248,6",5,,4,4,965,"3,67%","1,72%",,,3,1,438,4.24%,1.16%,17,2.72%,0.00%,689,5.73%,0.00%,651,3.01%,1.05%,,22.434.751 đ,0 đ,621.554 đ,121.245 đ,,30,"2,20%","-74,29%",,,,,,,,,,,,,,,
27023377749,1732074958036437313,Quần Tây Basic 2025 Ống Rộng 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Hack Dáng Đứng Form Quần Tây Đi Làm Đi Học Basic Cho Nữ,501UM1_QTD007_,,Team D,SP đang bán,470,208 258,208 208,204 204,9,,8,8,2.123,"6,09%","1,46%",,,1,1,363,6.30%,1.11%,223,3.85%,1.03%,460,9.70%,0.62%,455,5.27%,1.05%,,56.164.910 đ,378.000 đ,1.543.060 đ,170.416 đ,,33,"-3,82%","-9,77%",,,,,,,,,,,,,,,
29857446384,1730948196841982273,Áo Sweater Trễ Vai Nỉ Lông Cáo Logo Mini Nhiều Màu Nữ Tính Hàn Quốc 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎,408NI1_AHOD016_,,Team D,SP đang bán,2095,"165 220 
VC30k",181 181,"239,76 239,76",3,,5,3,1.151,"2,13%","1,26%",,,1,0,40,4.16%,2.86%,0,0.00%,0.00%,26,3.82%,0.00%,63,3.21%,1.79%,,16.285.480 đ,880.670 đ,389.423 đ,0 đ,,44,"-35,25%","-77,44%",,,,,,,,,,,,,,,
29868454007,1731608836844783937,Áo Khoác Cổ Polo Khóa Kéo 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Logo Mini Nỉ Mềm Mịn Basic,411NI1_AKHD008_,,Team D,SP đang bán,987,206 279,206 279,"220,3 259,2",7,,5,5,1.003,"2,98%","1,83%",,,4,2,693,5.10%,1.13%,157,4.01%,0.00%,761,7.97%,0.77%,1.022,4.93%,1.10%,,26.264.055 đ,597.000 đ,708.923 đ,207.947 đ,,29,"-7,56%","-42,08%",,,,,,,,,,,,,,,
